Country,SERIES Description,Female_Labor_Rate_Percent,TIME_PERIOD,ISO
Bhutan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",59.0,2020,BTN
Bolivia (Plurinational State of),"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",63.0,2020,BOL
Bosnia and Herzegovina,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",35.2,2020,BIH
Botswana,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",65.5,2020,BWA
Brazil,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",54.0,2020,BRA
Belize,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",50.2,2020,BLZ
Solomon Islands,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",82.0,2020,SLB
Brunei Darussalam,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",57.6,2020,BRN
Bulgaria,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",49.1,2020,BGR
Nepal,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",82.9,2020,NPL
Netherlands,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",58.1,2020,NLD
New Caledonia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",57.5,2020,NCL
Vanuatu,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",60.9,2020,VUT
New Zealand,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",64.7,2020,NZL
Nicaragua,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",49.9,2020,NIC
Niger,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",60.3,2020,NER
Nigeria,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",47.6,2020,NGA
Norway,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",60.3,2020,NOR
Pakistan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",22.2,2020,PAK
Panama,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",53.4,2020,PAN
Myanmar,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",47.3,2020,MMR
Burundi,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",80.4,2020,BDI
Belarus,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",57.3,2020,BLR
Cambodia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",76.3,2020,KHM
Cameroon,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",70.9,2020,CMR
Canada,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",60.7,2020,CAN
Cabo Verde,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",53.6,2020,CPV
Central African Republic,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",64.4,2020,CAF
Sri Lanka,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",35.3,2020,LKA
Chad,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",63.9,2020,TCD
Chile,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",52.0,2020,CHL
China,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",59.8,2020,CHN
Colombia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",57.5,2020,COL
Comoros,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",36.8,2020,COM
Congo,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",67.4,2020,COG
Democratic Republic of the Congo,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",60.4,2020,COD
Costa Rica,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",48.2,2020,CRI
Croatia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",45.3,2020,HRV
Cuba,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",40.5,2020,CUB
Cyprus,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",57.8,2020,CYP
Czechia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",52.8,2020,CZE
Benin,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",69.0,2020,BEN
Denmark,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",58.2,2020,DNK
Dominican Republic,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",51.6,2020,DOM
Ecuador,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.3,2020,ECU
El Salvador,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",45.5,2020,SLV
Equatorial Guinea,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.0,2020,GNQ
Ethiopia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",73.6,2020,ETH
Eritrea,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",71.4,2020,ERI
Estonia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",56.8,2020,EST
Kuwait,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",49.3,2020,KWT
Kyrgyzstan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",44.5,2020,KGZ
Lao People's Democratic Republic,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",76.8,2020,LAO
Lebanon,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",22.9,2020,LBN
Lesotho,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",60.1,2020,LSO
Latvia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.3,2020,LVA
Liberia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",72.1,2020,LBR
Libya,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",33.8,2020,LBY
Lithuania,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",56.2,2020,LTU
Luxembourg,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.1,2020,LUX
"China, Macao Special Administrative Region","Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",64.6,2020,MAC
Madagascar,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",83.4,2020,MDG
Malawi,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",72.6,2020,MWI
Honduras,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",52.1,2020,HND
"China, Hong Kong Special Administrative Region","Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",53.7,2020,HKG
Hungary,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",48.5,2020,HUN
Iceland,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",70.6,2020,ISL
India,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",20.3,2020,IND
Indonesia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",53.2,2020,IDN
Iran (Islamic Republic of),"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",17.3,2020,IRN
Iraq,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",11.8,2020,IRQ
Ireland,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.8,2020,IRL
Israel,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",59.7,2020,ISR
Italy,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",40.7,2020,ITA
Côte d’Ivoire,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",48.3,2020,CIV
Jamaica,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",60.0,2020,JAM
Japan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",52.7,2020,JPN
Kazakhstan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",62.2,2020,KAZ
Jordan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",14.4,2020,JOR
Kenya,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",72.3,2020,KEN
Democratic People's Republic of Korea,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",73.3,2020,PRK
Republic of Korea,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",52.8,2020,KOR
Fiji,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",38.6,2020,FJI
Finland,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.3,2020,FIN
France,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",50.6,2020,FRA
French Polynesia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",47.4,2020,PYF
Djibouti,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",50.8,2020,DJI
Gabon,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",43.8,2020,GAB
Georgia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",57.4,2020,GEO
Gambia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",51.4,2020,GMB
State of Palestine,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",17.9,2020,PSE
Germany,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.3,2020,DEU
Ghana,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",63.5,2020,GHA
Greece,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",43.9,2020,GRC
Guam,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",52.2,2020,GUM
Guatemala,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",39.9,2020,GTM
Guinea,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",62.8,2020,GIN
Guyana,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",44.1,2020,GUY
Haiti,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",62.1,2020,HTI
Papua New Guinea,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",46.1,2020,PNG
Paraguay,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",59.4,2020,PRY
Peru,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",70.6,2020,PER
Philippines,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",46.2,2020,PHL
Poland,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",48.3,2020,POL
Portugal,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",53.9,2020,PRT
Guinea-Bissau,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",65.9,2020,GNB
Timor-Leste,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",61.9,2020,TLS
Puerto Rico,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",30.9,2020,PRI
Qatar,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",56.8,2020,QAT
Romania,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",44.9,2020,ROU
Russian Federation,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",54.4,2020,RUS
Rwanda,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",84.0,2020,RWA
Saint Lucia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",59.7,2020,LCA
Saint Vincent and the Grenadines,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",54.4,2020,VCT
Sao Tome and Principe,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",41.2,2020,STP
Saudi Arabia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",22.3,2020,SAU
Senegal,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",35.1,2020,SEN
