Country,SERIES Description,Female_Labor_Rate_Percent,TIME_PERIOD,ISO
Jordan,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",14.4,2020,JOR
Finland,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.3,2020,FIN
France,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",50.6,2020,FRA
Gabon,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",43.8,2020,GAB
Georgia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",57.4,2020,GEO
Germany,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",55.3,2020,DEU
Ghana,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",63.5,2020,GHA
Greece,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",43.9,2020,GRC
Guinea,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",62.8,2020,GIN
Philippines,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",46.2,2020,PHL
Poland,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",48.3,2020,POL
Portugal,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",53.9,2020,PRT
Romania,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",44.9,2020,ROU
Russian Federation,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",54.4,2020,RUS
Saudi Arabia,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",22.3,2020,SAU
Senegal,"Labour Force Participation Rate by Sex, 15+ - ILO Modelled Estimates, Nov. 2019 (%)",35.1,2020,SEN
